Node,Type,Average Depth Feet,Maximum Depth Feet,Maximum HGL Feet,Time of Max Occurence days,hr:min, Reported Max Depth Feet
103,JUNCTION,0,0,-22.38,0,0:00,0
,,,,,,,
104,JUNCTION,0,0,-22.37,0,0:00,0
,,,,,,,
105,JUNCTION,0,0,-20.44,0,0:00,0
,,,,,,,
106,JUNCTION,0,0,-12.12,0,0:00,0
,,,,,,,
107,JUNCTION,0,0,-14.89,0,0:00,0
,,,,,,,
108,JUNCTION,0,0,-6.8,0,0:00,0
,,,,,,,
109,JUNCTION,0,0,-20.88,0,0:00,0
,,,,,,,
110,JUNCTION,0,0,-20.91,0,0:00,0
,,,,,,,
111,JUNCTION,0,0,-20.98,0,0:00,0
,,,,,,,
112,JUNCTION,0,0,-21,0,0:00,0
,,,,,,,
113,JUNCTION,0,0,-80.8,0,0:00,0
,,,,,,,
114,JUNCTION,0,0,-83.18,0,0:00,0
,,,,,,,
115,JUNCTION,0,0,-71.75,0,0:00,0
,,,,,,,
116,JUNCTION,0,0,-71.87,0,0:00,0
,,,,,,,
117,JUNCTION,0,0,-98.5,0,0:00,0
,,,,,,,
118,JUNCTION,0,0,-22.98,0,0:00,0
,,,,,,,
119,JUNCTION,0,0,-20.15,0,0:00,0
,,,,,,,
120,JUNCTION,0,0,-17.42,0,0:00,0
,,,,,,,
121,JUNCTION,0,0,-3.19,0,0:00,0
,,,,,,,
122,JUNCTION,0,0,-3.43,0,0:00,0
,,,,,,,
123,JUNCTION,0,0,-10.64,0,0:00,0
,,,,,,,
124,JUNCTION,0,0,-6.5,0,0:00,0
,,,,,,,
125,JUNCTION,0,0,-7.2,0,0:00,0
,,,,,,,
126,JUNCTION,0,0,-19.38,0,0:00,0
,,,,,,,
127,JUNCTION,0,0,-11.21,0,0:00,0
,,,,,,,
128,JUNCTION,0,0,-11.7,0,0:00,0
,,,,,,,
129,JUNCTION,0,0,-14.32,0,0:00,0
,,,,,,,
130,JUNCTION,0,0,-5.69,0,0:00,0
,,,,,,,
131,JUNCTION,0,0,31.65,0,0:00,0
,,,,,,,
132,JUNCTION,0,0,31.36,0,0:00,0
,,,,,,,
133,JUNCTION,0,0,40.24,0,0:00,0
,,,,,,,
134,JUNCTION,0,0,44.72,0,0:00,0
,,,,,,,
135,JUNCTION,0,0,44.62,0,0:00,0
,,,,,,,
136,JUNCTION,0,0,44.35,0,0:00,0
,,,,,,,
137,JUNCTION,0,0,34.51,0,0:00,0
,,,,,,,
138,JUNCTION,0,0,52.23,0,0:00,0
,,,,,,,
139,JUNCTION,0,0,49.93,0,0:00,0
,,,,,,,
140,JUNCTION,0,0,45.2,0,0:00,0
,,,,,,,
141,JUNCTION,0,0,49.13,0,0:00,0
,,,,,,,
142,JUNCTION,0,0,40.05,0,0:00,0
,,,,,,,
143,JUNCTION,0,0,39.9,0,0:00,0
,,,,,,,
148,JUNCTION,0.18,0.4,0.4,1,0.75,0.32
,,,,,,,
68,OUTFALL,0,0,6.5,0,0:00,0
,,,,,,,
69,OUTFALL,0,0,5,0,0:00,0
,,,,,,,
93,OUTFALL,0,0,13.89,0,0:00,0
,,,,,,,
94,OUTFALL,0,0,10.51,0,0:00,0
,,,,,,,
95,OUTFALL,0,0,12.7,0,0:00,0
,,,,,,,
96,OUTFALL,0,0,31.6,0,0:00,0
,,,,,,,
97,OUTFALL,0,0,17.55,0,0:00,0
,,,,,,,
98,OUTFALL,0,0,11,0,0:00,0
,,,,,,,
99,OUTFALL,0,0,6.1,0,0:00,0
,,,,,,,
101,OUTFALL,0,0,11.89,0,0:00,0
,,,,,,,
144,OUTFALL,0,0,32.22,0,0:00,0
,,,,,,,
145,OUTFALL,0,0,8,0,0:00,0
,,,,,,,
146,OUTFALL,0,0,39.9,0,0:00,0
,,,,,,,
147,OUTFALL,0,0,15,0,0:00,0
