value,SLR,CFEP,return_period
1996,0,0.05,20
19961,0,0.05,20
1,0,0.5,2
2,0,0.1,10
3,0,0.05,20
4,0,0.01,100
5,0,0.001,1000
6,0.36576,0.5,2
7,0.36576,0.1,10
8,0.36576,0.05,20
9,0.36576,0.01,100
10,0.36576,0.001,1000
11,0.73152,0.5,2
12,0.73152,0.1,10
13,0.73152,0.05,20
14,0.73152,0.01,100
15,0.73152,0.001,1000
16,1.31064,0.5,2
17,1.31064,0.1,10
18,1.31064,0.05,20
19,1.31064,0.01,100
20,1.31064,0.001,1000
