Date,Time,9
1/3/2020,0:45,0
1/3/2020,1:00,0
1/3/2020,1:15,0
1/3/2020,1:30,0
1/3/2020,1:45,0
1/3/2020,2:00,0
1/3/2020,2:15,0
1/3/2020,2:30,0
1/3/2020,2:45,0
1/3/2020,3:00,0
1/3/2020,3:15,0
1/3/2020,3:30,0
1/3/2020,3:45,0
1/3/2020,4:00,0
1/3/2020,4:15,0
1/3/2020,4:30,0
1/3/2020,4:45,0
1/3/2020,5:00,0
1/3/2020,5:15,0
1/3/2020,5:30,0
1/3/2020,5:45,0
1/3/2020,6:00,0
1/3/2020,6:15,0
1/3/2020,6:30,0
1/3/2020,6:45,0
1/3/2020,7:00,0
1/3/2020,7:15,0
1/3/2020,7:30,0
1/3/2020,7:45,0
1/3/2020,8:00,0
1/3/2020,8:15,0
1/3/2020,8:30,0
1/3/2020,8:45,0
1/3/2020,9:00,0
1/3/2020,9:15,0
1/3/2020,9:30,0
1/3/2020,9:45,0
1/3/2020,10:00,0
1/3/2020,10:15,0
1/3/2020,10:30,0
1/3/2020,10:45,0
1/3/2020,11:00,0
1/3/2020,11:15,0
1/3/2020,11:30,0
1/3/2020,11:45,0
1/3/2020,12:00,0
1/3/2020,12:15,0
1/3/2020,12:30,0
1/3/2020,12:45,0
1/3/2020,13:00,0
1/3/2020,13:15,0
1/3/2020,13:30,0
1/3/2020,13:45,0
1/3/2020,14:00,0
1/3/2020,14:15,0
1/3/2020,14:30,0
1/3/2020,14:45,0
1/3/2020,15:00,0
1/3/2020,15:15,0
1/3/2020,15:30,0
1/3/2020,15:45,0
1/3/2020,16:00,0
1/3/2020,16:15,0
1/3/2020,16:30,0
1/3/2020,16:45,0
1/3/2020,17:00,0
1/3/2020,17:15,0
1/3/2020,17:30,0
1/3/2020,17:45,0
1/3/2020,18:00,0
1/3/2020,18:15,0
1/3/2020,18:30,0
1/3/2020,18:45,0
1/3/2020,19:00,0
1/3/2020,19:15,0
1/3/2020,19:30,0
1/3/2020,19:45,0
1/3/2020,20:00,0
1/3/2020,20:15,0
1/3/2020,20:30,0
1/3/2020,20:45,0
1/3/2020,21:00,0
1/3/2020,21:15,0
1/3/2020,21:30,0
1/3/2020,21:45,0
1/3/2020,22:00,0
1/3/2020,22:15,0
1/3/2020,22:30,0
1/3/2020,22:45,0
1/3/2020,23:00,0
1/3/2020,23:15,0
1/3/2020,23:30,0
1/3/2020,23:45,0
1/4/2020,0:00,0
1/4/2020,0:15,0
1/4/2020,0:30,0
1/4/2020,0:45,0
1/4/2020,1:00,0
1/4/2020,1:15,0
1/4/2020,1:30,0
1/4/2020,1:45,0
1/4/2020,2:00,0
1/4/2020,2:15,0
1/4/2020,2:30,0
1/4/2020,2:45,0
1/4/2020,3:00,0
1/4/2020,3:15,0
1/4/2020,3:30,0
1/4/2020,3:45,0
1/4/2020,4:00,0
1/4/2020,4:15,0
1/4/2020,4:30,0
1/4/2020,4:45,0
1/4/2020,5:00,0
1/4/2020,5:15,0
1/4/2020,5:30,0
1/4/2020,5:45,0
1/4/2020,6:00,0
1/4/2020,6:15,0
1/4/2020,6:30,0
1/4/2020,6:45,0
1/4/2020,7:00,0
1/4/2020,7:15,0
1/4/2020,7:30,0
1/4/2020,7:45,0
1/4/2020,8:00,0
1/4/2020,8:15,0
1/4/2020,8:30,0
1/4/2020,8:45,0
1/4/2020,9:00,0
1/4/2020,9:15,0
1/4/2020,9:30,0
1/4/2020,9:45,0
1/4/2020,10:00,0
1/4/2020,10:15,0
1/4/2020,10:30,0
1/4/2020,10:45,0
1/4/2020,11:00,0
1/4/2020,11:15,0
1/4/2020,11:30,0
1/4/2020,11:45,0
1/4/2020,12:00,0
1/4/2020,12:15,0
1/4/2020,12:30,0
1/4/2020,12:45,0
1/4/2020,13:00,0
1/4/2020,13:15,0
1/4/2020,13:30,0
1/4/2020,13:45,0
1/4/2020,14:00,0
1/4/2020,14:15,0
1/4/2020,14:30,0
1/4/2020,14:45,0
1/4/2020,15:00,0
1/4/2020,15:15,0
1/4/2020,15:30,0
1/4/2020,15:45,0
1/4/2020,16:00,0
1/4/2020,16:15,0
1/4/2020,16:30,0
1/4/2020,16:45,0
1/4/2020,17:00,0
1/4/2020,17:15,0
1/4/2020,17:30,0
1/4/2020,17:45,0
1/4/2020,18:00,0
1/4/2020,18:15,0
1/4/2020,18:30,0
1/4/2020,18:45,0
1/4/2020,19:00,0
1/4/2020,19:15,0
1/4/2020,19:30,0
1/4/2020,19:45,0
1/4/2020,20:00,0
1/4/2020,20:15,0
1/4/2020,20:30,0
1/4/2020,20:45,0
1/4/2020,21:00,0
1/4/2020,21:15,0
1/4/2020,21:30,0
1/4/2020,21:45,0
1/4/2020,22:00,0
1/4/2020,22:15,0
1/4/2020,22:30,0
1/4/2020,22:45,0
1/4/2020,23:00,0
1/4/2020,23:15,0
1/4/2020,23:30,0
1/4/2020,23:45,0
1/5/2020,0:00,0
1/5/2020,0:15,0
1/5/2020,0:30,0
1/5/2020,0:45,0
1/5/2020,1:00,0
1/5/2020,1:15,0
1/5/2020,1:30,0
1/5/2020,1:45,0
1/5/2020,2:00,0
1/5/2020,2:15,0
1/5/2020,2:30,0
1/5/2020,2:45,0
1/5/2020,3:00,0
1/5/2020,3:15,0
1/5/2020,3:30,0
1/5/2020,3:45,0
1/5/2020,4:00,0
1/5/2020,4:15,0
1/5/2020,4:30,0
1/5/2020,4:45,0
1/5/2020,5:00,0
1/5/2020,5:15,33.43863506
1/5/2020,5:30,45.29255973
1/5/2020,5:45,58.29072118
1/5/2020,6:00,72.30280869
1/5/2020,6:15,62.81162205
1/5/2020,6:30,53.75859772
1/5/2020,6:45,45.17773798
1/5/2020,7:00,37.10977519
1/5/2020,7:15,26.02562118
1/5/2020,7:30,16.47688096
1/5/2020,7:45,8.961714586
1/5/2020,8:00,4.472214105
1/5/2020,8:15,4.473479567
1/5/2020,8:30,4.474745145
1/5/2020,8:45,4.476010839
1/5/2020,9:00,4.477276651
1/5/2020,9:15,4.51485651
1/5/2020,9:30,4.552538732
1/5/2020,9:45,4.59032301
1/5/2020,10:00,4.628209039
1/5/2020,10:15,4.661534612
1/5/2020,10:30,4.694938083
1/5/2020,10:45,4.728419252
1/5/2020,11:00,4.761977919
1/5/2020,11:15,4.756511112
1/5/2020,11:30,4.751046353
1/5/2020,11:45,4.745583644
1/5/2020,12:00,4.740122984
1/5/2020,12:15,5.402578756
1/5/2020,12:30,6.092612423
1/5/2020,12:45,6.809031685
1/5/2020,13:00,7.55077185
1/5/2020,13:15,7.500640153
1/5/2020,13:30,7.450616599
1/5/2020,13:45,7.40070146
1/5/2020,14:00,7.350895008
1/5/2020,14:15,7.549821508
1/5/2020,14:30,7.753457544
1/5/2020,14:45,7.979642893
1/5/2020,15:00,8.21991979
1/5/2020,15:15,8.002625533
1/5/2020,15:30,7.796288905
1/5/2020,15:45,7.608570141
1/5/2020,16:00,7.428587661
1/5/2020,16:15,7.01592044
1/5/2020,16:30,6.610970512
1/5/2020,16:45,6.213910271
1/5/2020,17:00,5.824922629
1/5/2020,17:15,6.129103078
1/5/2020,17:30,6.438267275
1/5/2020,17:45,6.752325431
1/5/2020,18:00,7.0711919
1/5/2020,18:15,7.09522278
1/5/2020,18:30,7.119280045
1/5/2020,18:45,7.143363662
1/5/2020,19:00,7.167473597
1/5/2020,19:15,6.461587093
1/5/2020,19:30,5.779887184
1/5/2020,19:45,5.123390079
1/5/2020,20:00,4.493234272
1/5/2020,20:15,4.49704664
1/5/2020,20:30,4.500860064
1/5/2020,20:45,4.504674542
1/5/2020,21:00,4.508490074
1/5/2020,21:15,4.517250353
1/5/2020,21:30,4.526016181
1/5/2020,21:45,4.534787552
1/5/2020,22:00,4.543564463
1/5/2020,22:15,4.554296716
1/5/2020,22:30,4.565037228
1/5/2020,22:45,4.575785993
1/5/2020,23:00,4.586543002
1/5/2020,23:15,4.598535782
1/5/2020,23:30,4.610538774
1/5/2020,23:45,4.622551971
1/6/2020,0:00,4.634575361
1/6/2020,0:15,5.081331289
1/6/2020,0:30,5.541270952
1/6/2020,0:45,6.013983238
1/6/2020,1:00,6.499089582
1/6/2020,1:15,6.598476929
1/6/2020,1:30,6.698352123
1/6/2020,1:45,6.798712454
1/6/2020,2:00,6.899555251
1/6/2020,2:15,6.896636433
1/6/2020,2:30,6.893718016
1/6/2020,2:45,6.890799999
1/6/2020,3:00,6.887882383
1/6/2020,3:15,6.884031324
1/6/2020,3:30,6.880180963
1/6/2020,3:45,6.8763313
1/6/2020,4:00,6.872482335
1/6/2020,4:15,6.86942322
1/6/2020,4:30,6.866364546
1/6/2020,4:45,6.863306314
1/6/2020,5:00,6.860248522
1/6/2020,5:15,6.850101598
1/6/2020,5:30,6.839959542
1/6/2020,5:45,6.829822357
1/6/2020,6:00,6.819690045
1/6/2020,6:15,6.811832887
1/6/2020,6:30,6.803978666
1/6/2020,6:45,6.796127381
1/6/2020,7:00,6.788279036
1/6/2020,7:15,6.780916426
1/6/2020,7:30,6.773556407
1/6/2020,7:45,6.766198979
1/6/2020,8:00,6.758844144
1/6/2020,8:15,6.754450611
1/6/2020,8:30,6.750058005
1/6/2020,8:45,6.745666325
1/6/2020,9:00,6.741275572
1/6/2020,9:15,6.736083507
1/6/2020,9:30,6.730892738
1/6/2020,9:45,6.725703266
1/6/2020,10:00,6.720515093
1/6/2020,10:15,6.714686672
1/6/2020,10:30,6.708859892
1/6/2020,10:45,6.703034751
1/6/2020,11:00,6.697211251
1/6/2020,11:15,6.692243871
1/6/2020,11:30,6.687277687
1/6/2020,11:45,6.682312697
1/6/2020,12:00,6.677348904
1/6/2020,12:15,6.672362125
1/6/2020,12:30,6.667376555
1/6/2020,12:45,6.662392192
1/6/2020,13:00,6.657409039
1/6/2020,13:15,6.653031908
1/6/2020,13:30,6.64865571
1/6/2020,13:45,6.644280446
1/6/2020,14:00,6.639906117
1/6/2020,14:15,6.50669623
1/6/2020,14:30,6.374365164
1/6/2020,14:45,6.242919625
1/6/2020,15:00,6.112366457
1/6/2020,15:15,5.986586005
1/6/2020,15:30,5.861658306
1/6/2020,15:45,5.737590002
1/6/2020,16:00,5.614387873
1/6/2020,16:15,5.446615068
1/6/2020,16:30,5.280507383
1/6/2020,16:45,5.11608378
1/6/2020,17:00,4.95336381
1/6/2020,17:15,5.054874263
1/6/2020,17:30,5.157053258
1/6/2020,17:45,5.259895936
1/6/2020,18:00,5.363397531
1/6/2020,18:15,5.399377127
1/6/2020,18:30,5.435434922
1/6/2020,18:45,5.471570726
1/6/2020,19:00,5.507784348
1/6/2020,19:15,5.514473695
1/6/2020,19:30,5.521165682
1/6/2020,19:45,5.527860309
1/6/2020,20:00,5.534557574
1/6/2020,20:15,5.517897648
1/6/2020,20:30,5.50125407
1/6/2020,20:45,5.484626858
1/6/2020,21:00,5.468016031
1/6/2020,21:15,5.461960592
1/6/2020,21:30,5.455907337
1/6/2020,21:45,5.449856266
1/6/2020,22:00,5.443807381
1/6/2020,22:15,5.439545183
1/6/2020,22:30,5.435284071
1/6/2020,22:45,5.431024046
1/6/2020,23:00,5.426765108
1/6/2020,23:15,5.37322395
1/6/2020,23:30,5.319855877
1/6/2020,23:45,5.266661521
1/7/2020,0:00,5.213641521
1/7/2020,0:15,5.058303068
1/7/2020,0:30,4.904503523
1/7/2020,0:45,4.752260276
1/7/2020,1:00,4.601591261
1/7/2020,1:15,4.588837592
1/7/2020,1:30,4.576095479
1/7/2020,1:45,4.563364932
1/7/2020,2:00,4.550645964
1/7/2020,2:15,4.55439227
1/7/2020,2:30,4.558139583
1/7/2020,2:45,4.561887901
1/7/2020,3:00,4.565637224
1/7/2020,3:15,4.569046618
1/7/2020,3:30,4.572456842
1/7/2020,3:45,4.575867896
1/7/2020,4:00,4.57927978
1/7/2020,4:15,4.584547698
1/7/2020,4:30,4.589817592
1/7/2020,4:45,4.59508946
1/7/2020,5:00,4.600363303
1/7/2020,5:15,4.5997666
1/7/2020,5:30,4.599169922
1/7/2020,5:45,4.598573269
1/7/2020,6:00,4.597976642
1/7/2020,6:15,0
1/7/2020,6:30,0
1/7/2020,6:45,0
1/7/2020,7:00,0
1/7/2020,7:15,0
1/7/2020,7:30,0
1/7/2020,7:45,0
1/7/2020,8:00,0
1/7/2020,8:15,0
1/7/2020,8:30,0
1/7/2020,8:45,0
1/7/2020,9:00,0
1/7/2020,9:15,0
1/7/2020,9:30,0
1/7/2020,9:45,0
1/7/2020,10:00,0
1/7/2020,10:15,0
1/7/2020,10:30,0
1/7/2020,10:45,0
1/7/2020,11:00,0
1/7/2020,11:15,0
1/7/2020,11:30,0
1/7/2020,11:45,0
1/7/2020,12:00,0
1/7/2020,12:15,0
1/7/2020,12:30,0
1/7/2020,12:45,0
1/7/2020,13:00,0
1/7/2020,13:15,0
1/7/2020,13:30,0
1/7/2020,13:45,0
1/7/2020,14:00,0
