Date,Time,8,9,10
1/1/2020,0:00,0,0,0
1/1/2020,0:15,0,0,0
1/1/2020,0:30,0,0,0
1/1/2020,0:45,0,0,0
1/1/2020,1:00,0,0,0
1/1/2020,1:15,0,0,0
1/1/2020,1:30,0,0,0
1/1/2020,1:45,0,0,0
1/1/2020,2:00,0,0,0
1/1/2020,2:15,0,0,0
1/1/2020,2:30,0,0,0
1/1/2020,2:45,0,0,0
1/1/2020,3:00,0,0,0
1/1/2020,3:15,0,0,0
1/1/2020,3:30,0,0,0
1/1/2020,3:45,0,0,0
1/1/2020,4:00,0,0,0
1/1/2020,4:15,0,0,0
1/1/2020,4:30,0,0.195374516,0
1/1/2020,4:45,0,0.853343943,0
1/1/2020,5:00,0,1.761958405,0
1/1/2020,5:15,0,0.107850995,0
1/1/2020,5:30,0,0,0
1/1/2020,5:45,0,0,0
1/1/2020,6:00,0,0,0
1/1/2020,6:15,0,0,0
1/1/2020,6:30,0,0,0
1/1/2020,6:45,0,0,0
1/1/2020,7:00,0,0,0
1/1/2020,7:15,0,0,0
1/1/2020,7:30,0,0,0
1/1/2020,7:45,0,0,0
1/1/2020,8:00,0,0,0
1/1/2020,8:15,0,0,0
1/1/2020,8:30,0,0,0
1/1/2020,8:45,0,0,0
1/1/2020,9:00,0,0,0
1/1/2020,9:15,0,0,0
1/1/2020,9:30,0,0,0
1/1/2020,9:45,0,0,0
1/1/2020,10:00,0,0,0
1/1/2020,10:15,0,0,0
1/1/2020,10:30,0,0,0
1/1/2020,10:45,0,0,0
1/1/2020,11:00,0,0,0
1/1/2020,11:15,0,0,0
1/1/2020,11:30,0,0,0
1/1/2020,11:45,0,0,0
1/1/2020,12:00,0,0,0
1/1/2020,12:15,0,0,0
1/1/2020,12:30,0,0,0
1/1/2020,12:45,0,0,0
1/1/2020,13:00,0,0,0
1/1/2020,13:15,0,0,0
1/1/2020,13:30,0,0,0
1/1/2020,13:45,0,0,0
1/1/2020,14:00,0,0,0
1/1/2020,14:15,0,0,0
1/1/2020,14:30,0,0,0
1/1/2020,14:45,0,0,0
1/1/2020,15:00,0,0,0
1/1/2020,15:15,0,0,0
1/1/2020,15:30,0,0,0
1/1/2020,15:45,0,0,0
1/1/2020,16:00,0,0,0
1/1/2020,16:15,0,0,0
1/1/2020,16:30,0,0,0
1/1/2020,16:45,0,0,0
1/1/2020,17:00,0,0,0
1/1/2020,17:15,0,0,0
1/1/2020,17:30,0,0,0
1/1/2020,17:45,0,0,0
1/1/2020,18:00,0,0,0
1/1/2020,18:15,0,0,0
1/1/2020,18:30,0,0,0
1/1/2020,18:45,0,0,0
1/1/2020,19:00,0,0,0
1/1/2020,19:15,0,0,0
1/1/2020,19:30,0,0,0
1/1/2020,19:45,0,0,0
1/1/2020,20:00,0,0,0
1/1/2020,20:15,0,0,0
1/1/2020,20:30,0,0,0
1/1/2020,20:45,0,0,0
1/1/2020,21:00,0,0,0
1/1/2020,21:15,0,0,0
1/1/2020,21:30,0,0,0
1/1/2020,21:45,0,0,0
1/1/2020,22:00,0,0,0
1/1/2020,22:15,0,0,0
1/1/2020,22:30,0,0,0
1/1/2020,22:45,0,0,0
1/1/2020,23:00,0,0,0
1/1/2020,23:15,0,0,0
1/1/2020,23:30,0,0,0
1/1/2020,23:45,0,0,0
1/2/2020,0:00,0,0,0
1/2/2020,0:15,0,0,0
1/2/2020,0:30,0,0,0
1/2/2020,0:45,0,0,0
1/2/2020,1:00,0,0,0
1/2/2020,1:15,0,0,0
1/2/2020,1:30,0,0,0
1/2/2020,1:45,0,0,0
1/2/2020,2:00,0,0,0
1/2/2020,2:15,0,0,0
1/2/2020,2:30,0,0,0
1/2/2020,2:45,0,0,0
1/2/2020,3:00,0,0,0
1/2/2020,3:15,0,0,0
1/2/2020,3:30,0,0,0
1/2/2020,3:45,0,0,0
1/2/2020,4:00,0,1.28431466,0
1/2/2020,4:15,0,14.07218382,0
1/2/2020,4:30,0,51.80817469,0
1/2/2020,4:45,0,103.4090681,0.302780054
1/2/2020,5:00,235.5061341,165.2162867,7.247171503
1/2/2020,5:15,265.0049447,185.2963678,10.23263133
1/2/2020,5:30,295.6154999,206.0685377,13.5213347
1/2/2020,5:45,327.2615969,227.4989244,17.07874208
1/2/2020,6:00,359.8760919,249.5567917,20.87778334
1/2/2020,6:15,303.8229313,209.707342,14.11470192
1/2/2020,6:30,250.8449651,172.0411467,8.237033066
1/2/2020,6:45,201.3516901,136.7715054,3.480514293
1/2/2020,7:00,155.8845216,104.1605974,0.347882774
1/2/2020,7:15,116.7065614,48.55984111,0
1/2/2020,7:30,83.67977825,9.916669996,0
1/2/2020,7:45,57.14669092,0.430650552,0
1/2/2020,8:00,37.00128053,0,0
1/2/2020,8:15,37.19620148,0,0
1/2/2020,8:30,37.39144439,0,0
1/2/2020,8:45,37.58700858,0,0
1/2/2020,9:00,37.78289335,0,0
1/2/2020,9:15,32.57357753,0,0
1/2/2020,9:30,27.61571178,0,0
1/2/2020,9:45,22.92655673,0,0
1/2/2020,10:00,18.52656273,0,0
1/2/2020,10:15,18.10931864,0,0
1/2/2020,10:30,17.69514815,0,0
1/2/2020,10:45,17.2840784,0,0
1/2/2020,11:00,16.87613712,0,0
1/2/2020,11:15,17.04372266,0,0
1/2/2020,11:30,17.21184138,0,0
1/2/2020,11:45,17.3804913,0,0
1/2/2020,12:00,17.54967048,0,0
1/2/2020,12:15,16.14730248,0,0
1/2/2020,12:30,14.78321947,0,0
1/2/2020,12:45,13.45871108,0,0
1/2/2020,13:00,12.1751866,0,0
1/2/2020,13:15,13.03704887,0,0
1/2/2020,13:30,13.91780547,0,0
1/2/2020,13:45,14.81700326,0,0
1/2/2020,14:00,15.73421648,0,0
1/2/2020,14:15,15.74352706,0,0
1/2/2020,14:30,15.75283943,0,0
1/2/2020,14:45,15.76215356,0,0
1/2/2020,15:00,15.77146948,0,0
1/2/2020,15:15,15.46601616,0,0
1/2/2020,15:30,15.16250055,0,0
1/2/2020,15:45,14.8609371,0,0
1/2/2020,16:00,14.56134055,0,0
1/2/2020,16:15,12.1800729,0,0
1/2/2020,16:30,9.941441701,0,0
1/2/2020,16:45,7.856508882,0,0
1/2/2020,17:00,5.939009986,0.252116775,0
1/2/2020,17:15,22.86255862,3.729153665,0
1/2/2020,17:30,46.72323806,23.2816969,0
1/2/2020,17:45,84.28829009,56.11594139,0
1/2/2020,18:00,136.149878,97.43987501,0.031342661
1/2/2020,18:15,133.6322391,95.01656804,0
1/2/2020,18:30,131.1353189,92.61298702,0
1/2/2020,18:45,128.6594673,90.22934577,0
1/2/2020,19:00,126.2050549,87.86586373,0
1/2/2020,19:15,93.07708128,61.56620286,0
1/2/2020,19:30,66.40714602,38.57775456,0
1/2/2020,19:45,44.70022213,19.61945428,0
1/2/2020,20:00,29.18532142,6.174550655,0
1/2/2020,20:15,26.91161729,0,0
1/2/2020,20:30,24.69753288,0,0
1/2/2020,20:45,22.54511984,0,0
1/2/2020,21:00,20.45661264,0,0
1/2/2020,21:15,17.68525637,0,0
1/2/2020,21:30,15.0474146,0,0
1/2/2020,21:45,12.55148787,0,0
1/2/2020,22:00,10.20741006,0,0
1/2/2020,22:15,0,0,0
1/2/2020,22:30,0,0,0
1/2/2020,22:45,0,0,0
1/2/2020,23:00,0,0,0
1/2/2020,23:15,0,0,0
1/2/2020,23:30,0,0,0
1/2/2020,23:45,0,0,0
1/3/2020,0:00,10.06912597,0,0
1/3/2020,0:15,10.19807311,0,0
1/3/2020,0:30,10.32755357,0,0
1/3/2020,0:45,10.45756491,0,0
1/3/2020,1:00,10.58810472,0,0
1/3/2020,1:15,13.29993855,0,0
1/3/2020,1:30,16.20463996,0,0
1/3/2020,1:45,19.28843321,0,0
1/3/2020,2:00,22.5398312,0,0
1/3/2020,2:15,0,0,0
1/3/2020,2:30,0,0,0
1/3/2020,2:45,0,0,0
1/3/2020,3:00,0,0,0
1/3/2020,3:15,0,0,0
1/3/2020,3:30,0,0,0
1/3/2020,3:45,0,0,0
1/3/2020,4:00,0,0,0
1/3/2020,4:15,0,0,0
1/3/2020,4:30,0,0,0
1/3/2020,4:45,0,0,0
1/3/2020,5:00,0,0,0
1/3/2020,5:15,0,0,0
1/3/2020,5:30,0,1.231455609,0
1/3/2020,5:45,0,7.566112353,0
1/3/2020,6:00,50.29297871,30.52925154,0
1/3/2020,6:15,52.31526864,32.36166249,0
1/3/2020,6:30,54.40062996,34.23120647,0
1/3/2020,6:45,56.54231605,36.13703373,0
1/3/2020,7:00,58.73612792,38.07834572,0
1/3/2020,7:15,43.48625393,13.56983167,0
1/3/2020,7:30,31.86774382,2.586818023,0
1/3/2020,7:45,21.9090563,0.042064104,0
1/3/2020,8:00,13.23692484,0,0
1/3/2020,8:15,0,0,0
1/3/2020,8:30,0,0,0
1/3/2020,8:45,0,0,0
1/3/2020,9:00,0,0,0
1/3/2020,9:15,0,0,0
1/3/2020,9:30,0,0,0
1/3/2020,9:45,0,0,0
1/3/2020,10:00,0,0,0
1/3/2020,10:15,0,0,0
1/3/2020,10:30,0,0,0
1/3/2020,10:45,0,0,0
1/3/2020,11:00,0,0,0
1/3/2020,11:15,0,0,0
1/3/2020,11:30,0,0,0
1/3/2020,11:45,0,0,0
1/3/2020,12:00,0,0,0
1/3/2020,12:15,0,0,0
1/3/2020,12:30,0,0,0
1/3/2020,12:45,0,0,0
1/3/2020,13:00,0,0,0
1/3/2020,13:15,0,0,0
1/3/2020,13:30,0,0,0
1/3/2020,13:45,0,0,0
1/3/2020,14:00,0,0,0
1/3/2020,14:15,0,0,0
1/3/2020,14:30,0,0,0
1/3/2020,14:45,0,0,0
1/3/2020,15:00,0,0,0
1/3/2020,15:15,0,0,0
1/3/2020,15:30,0,0,0
1/3/2020,15:45,0,0,0
