1/4/2020,15:45,749.1901536,337.148878,66.50353712,184.9766368,103183.542,0,0,33.88236653,5572.754961,0,0,0,1.850552185,591.0323921,305.7348914,1292.514911,181.572303,321.3799645,55.22546135,0,60662.76954,5222.116678,54986.41613,18.9605551,289.4905631,116.5881381,0,205.8121564,87.42840334,0,63431.65162,410.232624,3705.111642,115.860997,338.8228906
1/4/2020,16:00,817.933061,364.1593056,74.90240142,212.8456584,105142.8231,0,0,42.38965879,5986.721533,0,0,0,2.183872077,601.2484115,312.9509427,1291.018429,187.7874327,330.2188368,66.38754031,0,60670.68425,5222.880162,54986.4073,18.9604834,289.097941,116.2399602,0,277.8873277,115.0567604,6.388289334,64879.46027,445.9817501,3715.680703,117.1007787,342.4921843
1/4/2020,16:15,793.8572294,354.4417459,71.86985919,203.123146,105197.5198,0,0,38.70573043,6498.931275,0,0,0,2.364936726,608.8134081,318.3958558,1290.567778,192.0134767,326.4656196,73.24271875,0,60825.51377,5237.813085,55050.22221,19.48075498,293.9254463,120.6227397,0,254.625045,105.3485031,0,64394.94705,517.2022904,3733.289059,119.1819415,348.6528998
1/4/2020,16:30,769.957353,344.7839147,68.86784869,193.2346055,105252.2268,0,0,35.13211716,7016.756344,0,0,0,2.533091823,616.2855502,323.8590526,1290.116966,196.2733586,322.7180226,80.1120753,0,60980.48878,5252.755196,55114.06462,20.00542759,298.6690488,125.1438537,0,229.0119214,95.53829067,0,63911.47935,588.9913325,3750.812266,121.2724699,354.8428665
1/4/2020,16:45,746.2384302,335.1874682,65.89748882,183.1505093,105306.9443,0,0,31.67285219,7540.172447,0,0,0,2.690758751,623.6681754,329.3402801,1289.665993,200.5666188,318.9762088,86.99559889,0,61135.6092,5267.706468,55177.93454,20.5344528,303.3332347,129.7954834,0,200.1474626,85.55889515,0,63429.05818,661.3471479,3768.251577,123.3722434,361.0616982
1/4/2020,17:00,722.705603,325.6541025,62.95994092,172.8336596,105361.6721,0,0,28.3323841,8069.155671,0,0,0,2.839685039,630.9644257,334.8393285,1289.214859,204.8928132,315.240343,93.89327849,0,61290.87498,5282.666871,55241.83196,21.06778336,307.9220872,134.571167,0,166.3476884,75.30471965,0,62947.68453,734.2680268,3785.608216,125.4811434,367.309015
1/4/2020,17:15,642.0322256,291.4747444,52.55239854,133.5534057,104384.2366,0,0,26.43673961,8086.082981,0,0,0,2.705583045,625.0573198,330.3809603,1288.619649,201.5554907,313.0594327,87.66493264,0,61260.30967,5279.722183,55252.73027,21.15915136,307.4264792,134.0458641,0,0,31.39520334,0,61069.90568,805.8158687,3778.494356,124.6144788,364.7414704
1/4/2020,17:30,563.9390321,258.246238,42.66194581,85.17578942,103410.1323,0,0,24.58444049,8103.015906,0,0,0,2.564478135,619.0938535,325.9342748,1288.024158,198.2376734,310.8806449,81.44812558,0,61229.75,5276.777848,55263.62938,21.25064296,306.9300197,133.5219697,0,0,1.925453736,0,59208.31569,877.8963445,3771.366688,123.7493398,362.178687
1/4/2020,17:45,488.6990095,226.0675464,33.36532619,5.791882812,102439.3645,0,0,22.77664184,8119.954445,0,0,0,2.415143184,613.0723823,321.4993782,1287.428384,194.9395626,308.7040132,75.24286545,0,61199.19595,5273.833865,55274.52929,21.34225796,306.432704,132.9994906,0,0,0,0,57362.97643,950.5079249,3764.225131,122.8857348,359.6206907
1/4/2020,18:00,416.624308,195.0493686,24.75661491,0.689944504,101471.9386,0,0,21.01458644,8136.898597,0,0,0,2.25594439,606.9911798,317.0763933,1286.832328,191.6613645,306.5295714,69.04916038,0,61168.64753,5270.890236,55285.42999,21.43399612,305.9345276,132.4784336,0,0,0,0,55533.95068,1023.649096,3757.069599,122.0236717,357.0675076
